gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
891041333	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/519142	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.59504	-83.530469	704.0						2014-02-01	1	2	2014	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	519142		canopalma	2014-02-03T15:52:21	CC_BY_NC_4_0	canopalma	canopalma			2025-05-12T13:07:50.095Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
686473093	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8f84e97e-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera onca	centralis	SUBSPECIES	Panthera onca centralis (Mearns, 1901)	Panthera onca centralis		CR	DELICIAS DE UPALA, 2 KM N OF	Alajuela	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	10.96808	-85.05							1993-06-10	10	6	1993	5219432	5219426	PRESERVED_SPECIMEN	KU	KUM	145971				CC_BY_4_0		NONE			2025-04-29T13:48:49.121Z		
686389681	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8b908ce8-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii	nicaraguae	SUBSPECIES	Leopardus wiedii nicaraguae (J.A.Allen, 1919)	Leopardus wiedii nicaraguae		CR	FILADELFIA, 7 MI SW OF	Guanacaste	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	10.3706958	-85.624341							1954-03-12	12	3	1954	6164540	2434950	PRESERVED_SPECIMEN	KU	KUM	60503				CC_BY_4_0		WILLE A & DALY H V			2025-04-29T13:48:27.515Z		COORDINATE_REPROJECTED
5147044265	0daed095-478a-4af6-abf5-18acb790fbb2	https://arctos.database.museum/guid/MVZ:Mamm:95051	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis	mearnsi	SUBSPECIES	Leopardus pardalis mearnsi (J.A.Allen, 1904)	Leopardus pardalis mearnsi		CR	vicinity of San Isidro del General	San Jose	PRESENT		8edbbde0-055e-11d8-b850-b8a03c50a862	9.383333	-83.699997	4598.0						1932-06-01/1932-06-30		6	1932	6164576	2434982	PRESERVED_SPECIMEN	MVZ	Mamm	MVZ:Mamm:95051		Museum of Vertebrate Zoology	1999-01-27T00:00:00	CC0_1_0		Collector(s): Harvey E. Stork			2025-05-09T23:24:55.682Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5146956266	0daed095-478a-4af6-abf5-18acb790fbb2	https://arctos.database.museum/guid/MVZ:Mamm:95050	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis	mearnsi	SUBSPECIES	Leopardus pardalis mearnsi (J.A.Allen, 1904)	Leopardus pardalis mearnsi		CR	vicinity of San Jose	San Jose	PRESENT		8edbbde0-055e-11d8-b850-b8a03c50a862	9.933333	-84.083336	5793.0						1932-01-01/1932-12-31			1932	6164576	2434982	PRESERVED_SPECIMEN	MVZ	Mamm	MVZ:Mamm:95050		Museum of Vertebrate Zoology	1999-01-27T00:00:00	CC0_1_0		Collector(s): Harvey E. Stork			2025-05-09T23:24:49.376Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5141067060	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/276098776	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.628116	-84.498622	31227.0						2025-04-13T18:57	13	4	2025	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	276098776		Diego Lobo Montoya	2025-04-28T21:38:33	CC_BY_NC_4_0	Diego Lobo Montoya	Diego Lobo Montoya			2025-05-12T13:35:56.597Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5140095491	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/272562083	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.725095	-84.979506	31179.0						2025-04-11T01:24:38	11	4	2025	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	272562083		frogman44	2025-04-23T23:27:31	CC_BY_NC_4_0	frogman44	frogman44			2025-05-12T14:49:40.017Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5134691007	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/269521414	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.748917	-83.753428	212090.0						2025-04-09T15:52	9	4	2025	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	269521414		C Hewitt	2025-04-09T22:27:31	CC_BY_NC_4_0	Angelica Herrera	Angelica Herrera			2025-05-12T16:28:12.811Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5134517917	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/269234823	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.410509	-84.156494	40.0						2025-04-07T22:12:01	7	4	2025	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	269234823		ashtonreiser	2025-04-08T04:17:37	CC_BY_NC_4_0	ashtonreiser	ashtonreiser			2025-05-12T12:19:47.307Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5134413612	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/268710996	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.246538	-83.612979	74184.0						2025-04-04T17:54:35	4	4	2025	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	268710996		Jaime Marcelo Aranda Sánchez	2025-04-10T00:24:41	CC_BY_NC_4_0	rosiepetals	rosiepetals			2025-05-12T14:28:40.344Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
